D,w,t,allow,MS
89.0,91.0,7.5,155.814,0.06
89.0,92.0,5.0,156.095,0.06
89.0,94.0,3.0,156.704,0.05
89.0,95.0,2.5,157.029,0.05
89.0,103.0,1.1,155.874,0.06
90.0,91.0,14.9,156.592,0.05
90.0,92.0,7.5,155.808,0.06
90.0,93.0,5.0,156.086,0.06
90.0,95.0,3.0,156.687,0.05
90.0,96.0,2.5,157.007,0.05
90.0,104.0,1.1,155.811,0.06
91.0,92.0,14.9,156.59,0.05
91.0,93.0,7.5,155.802,0.06
91.0,94.0,5.0,156.076,0.06
91.0,96.0,3.0,156.669,0.05
91.0,97.0,2.5,156.986,0.05
92.0,93.0,14.9,156.587,0.05
92.0,94.0,7.5,155.796,0.06
92.0,95.0,5.0,156.067,0.06
92.0,97.0,3.0,156.653,0.05
92.0,98.0,2.5,156.965,0.05
93.0,94.0,14.9,156.584,0.05
93.0,95.0,7.5,155.791,0.06
93.0,96.0,5.0,156.058,0.06
93.0,98.0,3.0,156.636,0.05
93.0,99.0,2.5,156.944,0.05
94.0,95.0,14.9,156.582,0.05
94.0,96.0,7.5,155.785,0.06
94.0,97.0,5.0,156.049,0.06
94.0,99.0,3.0,156.62,0.05
94.0,100.0,2.5,156.924,0.05
95.0,96.0,14.9,156.579,0.05
95.0,97.0,7.5,155.78,0.06
95.0,98.0,5.0,156.041,0.06
95.0,100.0,3.0,156.604,0.05
95.0,101.0,2.5,156.905,0.05
96.0,97.0,14.9,156.577,0.05
96.0,98.0,7.5,155.774,0.06
96.0,99.0,5.0,156.032,0.06
96.0,101.0,3.0,156.589,0.05
96.0,102.0,2.5,156.886,0.05
97.0,98.0,14.9,156.574,0.05
97.0,99.0,7.5,155.769,0.06
97.0,100.0,5.0,156.024,0.06
97.0,102.0,3.0,156.574,0.05
97.0,103.0,2.5,156.867,0.05
98.0,99.0,14.9,156.572,0.05
98.0,100.0,7.5,155.764,0.06
98.0,101.0,5.0,156.016,0.06
98.0,103.0,3.0,156.56,0.05
98.0,104.0,2.5,156.849,0.05
99.0,100.0,14.9,156.57,0.05
99.0,101.0,7.5,155.759,0.06
99.0,102.0,5.0,156.008,0.06
99.0,104.0,3.0,156.545,0.05
